Observation;N_Sp;Specie;Germination response ;Fruit type;Seed dispersal mechanism ;Seed storage behavior;Seed dormancy;Ecological guild of the species;Fruit width (cm) ;Fruit length (cm);Seed mass (g);Seed length (cm) ;Seed width (cm)
10;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4.3;1.797;0.4;0.7
11;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4;1.797;0.4;0.7
12;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;4.3;1.797;0.4;0.7
13;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;4.4;1.797;0.4;0.7
14;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;4.1;1.797;0.4;0.7
15;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;3.7;1.797;0.4;0.7
16;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;4.2;1.797;0.4;0.7
17;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.9;1.797;0.4;0.7
18;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4;1.797;0.4;0.7
19;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4.1;1.797;0.4;0.7
20;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;4.2;1.797;0.4;0.7
21;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;3.6;1.797;0.4;0.7
22;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.1;4;1.797;0.4;0.7
23;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.2;6;1.797;0.4;0.7
24;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;5.5;1.797;0.4;0.7
25;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;5.3;1.797;0.4;0.7
26;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;4;1.797;0.4;0.7
27;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;5.9;1.797;0.4;0.7
28;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.5;1.797;0.4;0.7
29;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4.5;1.797;0.4;0.7
30;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.5;1.797;0.4;0.7
31;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;3.1;1.797;0.4;0.7
32;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;2.7;1.797;0.4;0.7
33;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.3;2.9;1.797;0.4;0.7
34;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;3.2;1.797;0.4;0.7
35;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;4.2;1.797;0.4;0.7
36;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;4;1.797;0.4;0.7
37;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4.1;1.797;0.4;0.7
38;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;4.2;1.797;0.4;0.7
39;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;3.9;1.797;0.4;0.7
40;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;3.1;1.797;0.4;0.7
41;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.6;1.797;0.4;0.7
42;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;3.1;1.797;0.4;0.7
43;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;3.2;1.797;0.4;0.7
44;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4.1;1.797;0.4;0.7
45;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;4.3;1.797;0.4;0.7
46;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;4.1;1.797;0.4;0.7
47;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;3.6;1.797;0.4;0.7
48;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;4.1;1.797;0.4;0.7
49;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;2.5;1.797;0.4;0.7
50;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.3;1.797;0.4;0.7
51;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.6;1.797;0.4;0.7
52;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;1.7;1.797;0.4;0.7
53;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2.3;1.797;0.4;0.7
54;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.2;1.797;0.4;0.7
55;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.2;1.797;0.4;0.7
56;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.4;1.797;0.4;0.7
57;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;1.8;1.797;0.4;0.7
58;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;2.4;1.797;0.4;0.7
59;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.6;1.797;0.4;0.7
60;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.4;1.797;0.4;0.7
61;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;2.7;1.797;0.4;0.7
62;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2.6;1.797;0.4;0.7
63;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.9;1.797;0.4;0.7
64;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;3;1.797;0.4;0.7
65;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.8;1.797;0.4;0.7
66;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;2.7;1.797;0.4;0.7
67;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.3;1.797;0.4;0.7
68;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;2.4;1.797;0.4;0.7
69;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;2.8;1.797;0.4;0.7
70;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2.9;1.797;0.4;0.7
71;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2.5;1.797;0.4;0.7
72;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;2.9;1.797;0.4;0.7
73;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3;1.797;0.4;0.7
74;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3;1.797;0.4;0.7
75;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;4.2;1.797;0.4;0.7
76;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.4;4.2;1.797;0.4;0.7
77;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2.6;1.797;0.4;0.7
78;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.6;1.797;0.4;0.7
79;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.9;1.797;0.4;0.7
80;Sp13;Triplaris americana;Tolerant;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;4;1.797;0.4;0.7
1;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.7;8.3;0.025;0.80;0.90
2;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.6;12.8;0.025;0.80;0.90
3;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.7;13;0.025;0.80;0.90
4;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.5;11;0.025;0.80;0.90
5;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;2;11.5;0.025;0.80;0.90
6;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;2.1;13.5;0.025;0.80;0.90
7;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.9;14;0.025;0.80;0.90
8;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.5;14.5;0.025;0.80;0.90
9;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;2;13.6;0.025;0.80;0.90
10;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.8;13.7;0.025;0.80;0.90
11;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.6;12.8;0.025;0.80;0.90
12;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.7;12;0.025;0.80;0.90
13;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.5;10.7;0.025;0.80;0.90
14;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.3;13.3;0.025;0.80;0.90
15;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.6;14.8;0.025;0.80;0.90
16;Sp14;Albizia niopoides;Sensitive;Legume;Anemochory;Orthodox;Dormant;Heliophyte;1.5;14;0.025;0.80;0.90
1;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.8;3;0.51;0.8;1.1
2;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.5;2.2;0.51;0.8;1.1
3;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.6;2.5;0.51;0.8;1.1
4;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.7;2.8;0.51;0.8;1.1
5;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2;2.6;0.51;0.8;1.1
6;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.1;1.2;0.51;0.8;1.1
7;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2;1;0.51;0.8;1.1
8;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.8;0.9;0.51;0.8;1.1
9;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;0.8;1.2;0.51;0.8;1.1
10;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.5;0.51;0.8;1.1
11;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1.6;0.51;0.8;1.1
12;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.2;1.2;0.51;0.8;1.1
13;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1;0.51;0.8;1.1
14;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1;1.2;0.51;0.8;1.1
15;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.3;0.51;0.8;1.1
16;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.2;1.4;0.51;0.8;1.1
17;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.3;0.51;0.8;1.1
18;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1;1.3;0.51;0.8;1.1
19;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;0.8;1.1;0.51;0.8;1.1
20;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1;1.4;0.51;0.8;1.1
21;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;0.9;1.6;0.51;0.8;1.1
22;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.2;1.2;0.51;0.8;1.1
23;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.3;0.51;0.8;1.1
24;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.2;1.5;0.51;0.8;1.1
25;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1.3;0.51;0.8;1.1
26;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.6;0.51;0.8;1.1
27;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1;0.51;0.8;1.1
28;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.1;1.1;0.51;0.8;1.1
29;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.1;1.3;0.51;0.8;1.1
30;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.5;0.51;0.8;1.1
31;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.6;0.51;0.8;1.1
32;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.4;0.51;0.8;1.1
33;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.6;1.5;0.51;0.8;1.1
34;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1;1.4;0.51;0.8;1.1
35;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.1;1.3;0.51;0.8;1.1
36;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.6;0.51;0.8;1.1
37;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.8;1.4;0.51;0.8;1.1
38;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2;1.5;0.51;0.8;1.1
39;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.1;1.5;0.51;0.8;1.1
40;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.7;1.4;0.51;0.8;1.1
41;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.8;2.1;0.51;0.8;1.1
42;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.6;1.7;0.51;0.8;1.1
43;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.9;2;0.51;0.8;1.1
44;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.9;2.1;0.51;0.8;1.1
45;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.9;1.9;0.51;0.8;1.1
46;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.9;2.2;0.51;0.8;1.1
47;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;2.3;0.51;0.8;1.1
48;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;2;0.51;0.8;1.1
49;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.6;1.9;0.51;0.8;1.1
50;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1;0.51;0.8;1.1
51;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.1;0.51;0.8;1.1
52;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1.3;0.51;0.8;1.1
53;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.3;1.2;0.51;0.8;1.1
54;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.6;1.8;0.51;0.8;1.1
55;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1.7;0.51;0.8;1.1
56;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.2;0.51;0.8;1.1
57;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.5;1.3;0.51;0.8;1.1
58;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.4;1.1;0.51;0.8;1.1
59;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;2.1;1;0.51;0.8;1.1
60;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.7;1.5;0.51;0.8;1.1
61;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.13;1.27;0.51;0.8;1.1
62;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;0.91;1.24;0.51;0.8;1.1
63;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.14;1.25;0.51;0.8;1.1
64;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1;1.31;0.51;0.8;1.1
65;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;0.97;1.71;0.51;0.8;1.1
66;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.19;1.28;0.51;0.8;1.1
67;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.36;1.28;0.51;0.8;1.1
68;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.68;1.12;0.51;0.8;1.1
69;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.61;1.27;0.51;0.8;1.1
70;Sp15;Cupania cinerea;Sensitive;Capsule;Zoochory;Recalcitrant;Dormant;Heliophyte;1.22;1.27;0.51;0.8;1.1
1;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.5;11.6;0.879;0.5;0.6
2;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;11.2;0.879;0.6;0.5
3;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.5;10.5;0.879;0.7;0.7
4;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;10.3;0.879;0.5;0.5
5;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;9.4;0.879;0.6;0.4
6;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;11.1;0.879;0.7;0.4
7;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.3;13;0.879;0.6;0.5
8;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.3;12;0.879;0.6;0.6
9;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.4;12.8;0.879;0.7;0.7
10;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.7;11.7;0.879;0.5;0.5
11;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.5;11;0.879;0.4;0.4
12;Sp16;Piptadenia uliginosa;Sensitive;Legume;Zoochory;Orthodox;Dormant;Heliophyte;1.7;12;0.879;0.3;0.5
1;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;5.5;2.08;0.7;1.1
2;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;5;2.08;0.7;1.1
3;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4.8;2.08;0.7;1.1
4;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.1;4.9;2.08;0.7;1.1
5;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1;4.7;2.08;0.7;1.1
6;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;5.2;2.08;0.7;1.1
7;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.8;5.6;2.08;0.7;1.1
8;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.7;4;2.08;0.7;1.1
9;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.9;3.5;2.08;0.7;1.1
10;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3;2.08;0.7;1.1
11;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.8;2.08;0.7;1.1
12;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.6;2.5;2.08;0.7;1.1
13;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;2;2.08;0.7;1.1
14;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;0.5;3.5;2.08;0.7;1.1
15;Sp18;Triplaris melaenodendron;Sensitive;Achene;Anemochory;Recalcitrant;Non Dormant;Heliophyte;1.1;5;2.08;0.7;1.1
